Frequency (Hz),Amplitude
0.0,0.0027519999999999992
100.00000000000841,0.18537564668036388
200.00000000001683,0.0006767071532439048
300.00000000002524,0.0014675191821313849
400.00000000003365,0.0004075369951597229
500.00000000004206,0.000991955166590238
600.0000000000505,0.0001304442481894354
700.0000000000589,0.00019080427263523008
800.0000000000673,8.642990448872773e-05
900.0000000000757,5.884703176495634e-05
1000.0000000000841,4.2076238941433386e-05
1100.0000000000925,1.397397446311573e-05
1200.000000000101,5.961800916041181e-05
1300.0000000001094,7.441465652054215e-05
1400.0000000001178,4.943620073104562e-05
1500.0000000001262,4.032000508711679e-05
1600.0000000001346,3.463047480579754e-05
1700.000000000143,2.2635638201536932e-05
1800.0000000001514,9.103658755575694e-05
1900.0000000001598,7.464825466796706e-05
2000.0000000001683,3.2297394174078176e-05
2100.0000000001764,1.8121639989739804e-05
2200.000000000185,4.18660947354589e-05
2300.0000000001933,5.055875307034836e-05
2400.000000000202,6.462401195963353e-05
2500.00000000021,1.9430850656255964e-05
2600.0000000002187,5.169453787044856e-05
2700.000000000227,1.066328734752545e-05
2800.0000000002356,3.066633751907716e-05
2900.0000000002437,8.394405497841343e-05
3000.0000000002524,2.675218193280312e-05
3100.0000000002606,7.73495823935117e-05
3200.000000000269,3.0037045698226006e-05
3300.0000000002774,1.907445552389215e-05
3400.000000000286,7.876298627044723e-05
3500.000000000294,2.7920690403240996e-05
3600.000000000303,6.497557604884753e-05
3700.000000000311,4.724358528187644e-05
3800.0000000003197,9.645554487647012e-06
3900.000000000328,3.7124907388463316e-05
4000.0000000003365,1.2135106274769497e-05
4100.000000000345,8.915565772952882e-05
4200.000000000353,2.0174963681788662e-05
4300.000000000362,2.9829014260985017e-05
4400.00000000037,5.1734552145721955e-05
4500.000000000378,4.795046155296638e-05
4600.0000000003865,5.076827816742451e-05
4700.000000000396,3.2760148527836594e-05
4800.000000000404,1.1681063891255539e-05
4900.000000000412,7.643752206297655e-05
5000.00000000042,4.916793848631484e-05
5100.000000000429,5.36427823493903e-05
5200.0000000004375,3.9429227275333995e-05
5300.000000000446,4.477720361740133e-05
5400.000000000454,7.3247344940704e-05
5500.000000000463,2.155052799785394e-05
5600.000000000471,5.978108610518731e-05
5700.000000000479,1.6241852136978343e-05
5800.0000000004875,4.566661115202687e-05
5900.000000000497,3.981958729763021e-05
6000.000000000505,4.727264850469701e-05
6100.000000000513,6.395086733892553e-05
6200.000000000521,7.841669810545265e-05
6300.00000000053,7.01599198179591e-05
6400.000000000538,5.9775835623520414e-05
6500.000000000547,8.695899049686192e-05
6600.000000000555,7.33068249596279e-05
6700.000000000564,2.34228972169762e-05
6800.000000000572,4.139456146575781e-05
6900.00000000058,2.8209250965353154e-05
