frequency (Hz),Vpp1 (V),Vpp2 (V),phase (Ch2-Ch1) (degrees),T,T_dB
24201.282647943834,3.3291842937,3.309076786,7.6669893265,0.9879569386553912,-0.05261984270571189
27185.8824273294,3.3189394474,3.2988967896,6.8515501022,0.987958719601763,-0.05261201387781059
30538.555088334124,3.3291511536,3.2887489796,5.7073173523,0.9758755224925013,-0.10605575102035573
34304.69286314919,3.3392696381,3.3192341328,4.4398765564,0.9880360669927513,-0.052272017584896455
38535.28593710528,3.3086946011,3.3090240955,5.0,1.0001991787372235,0.0008649361293025535
43287.612810830615,3.3188745975,3.2988398075,3.7354085445,0.9879631976500326,-0.052592328973905984
48626.015800653535,3.3085348606,3.2884378433,4.552529335,0.9878883067359432,-0.05292155119204432
54622.77217684337,3.2983524799,3.2986829281,4.7238926888,1.0002003817088245,0.0008701595250533913
61359.07273413163,3.2882049084,3.2885353565,2.6438188553,1.0002010000674497,0.0008728444835942627
68926.12104349695,3.3185596466,3.2986569405,3.7241377831,0.9880411828992793,-0.05224953050879452
77426.36826811278,3.2881789207,3.2885093689,3.6250967979,1.0002010017169374,0.0008728516457885319
86974.90026177834,3.2982983589,3.2986311913,1.4105354548,1.0002018308575493,0.0008764518325771783
97700.99572992246,3.3083195686,3.2884833813,1.0526316166,0.9880442505689904,-0.052236046557086364
109749.87654930567,3.2777795792,3.2986052036,2.3736262321,1.0127475216057484,0.05501189052106256
123284.67394420659,3.2879910469,3.2884573936,0.8861538172,1.0002836867650178,0.0012318612432568473
138488.63713938717,3.2981095314,3.2985789776,0.7489597201,1.0002846961906742,0.001236243877674136
155567.61439304723,3.2879588604,3.3087303638,1.7910447121,1.0126748026437786,0.05470004006351918
174752.8400007683,3.2778432369,3.2783162594,1.7610062361,1.0002886389595407,0.0012533621980282033
196304.06500402724,3.2879316807,3.3087043762,0.8477237225,1.0126756374679071,0.05470362027862846
220513.07399030458,3.2778172493,3.2985267639,-0.0,1.012676079972973,0.05470551799848313
247707.6355991709,3.2879002094,3.2883796692,-0.0,1.00029167233079,0.0012665321406463428
278255.94022071257,3.2980182171,3.2984950542,0.801781714,1.0002891867417694,0.0012557404988985583
312571.58496882353,3.2878730297,3.2883474827,-0.0,1.0002886286839119,0.0012533175844163746
351119.17342151277,3.2978665829,3.3186995983,-0.0,1.0126741438397044,0.05469721472347523
394420.6059437656,3.2877187729,3.3083655834,1.1374408007,1.012599399593807,0.0543766554225622
443062.14575838775,3.2978358269,3.298183918,-0.0,1.0002111138874208,0.0009167591967055715
497702.35643321136,3.2876906395,3.2880363464,0.5373134613,1.000210314846363,0.000913289736548661
559081.0182512222,3.2978096008,3.2981514931,0.4031355083,1.0002073558293596,0.0009004415721349615
628029.1441834247,3.2876644135,3.3083002567,0.4522612691,1.0125928948925373,0.054348757273082526
705480.2310718645,3.2977836132,3.2778887749,-0.0,0.98797081317106,-0.05255885236243111
792482.898353917,3.2674689293,3.2879712582,0.571428597,1.0125887358952108,0.05433091956843712
890215.0854450393,3.2977573872,3.2980868816,0.9608541131,1.0001998393586773,0.0008678045995367498
1000000.0,3.2674427032,3.30823493,-0.719999969,1.0251247625726527,0.10776724318124521
