Frequency (Hz),Amplitude
0.0,0.0005385599999999968
100.00000000000841,0.0015001579282582814
200.00000000001683,1.53257880991505e-05
300.00000000002524,4.2296625974494403e-05
400.00000000003365,1.496255355378672e-05
500.00000000004206,5.98860266045032e-05
600.0000000000505,6.353617788823558e-06
700.0000000000589,1.5762039158660383e-05
800.0000000000673,3.2589759472172027e-06
900.0000000000757,2.0477542840678018e-05
1000.0000000000841,8.809794285089923e-06
1100.0000000000925,9.97038844594107e-06
1200.000000000101,2.50435226704576e-06
1300.0000000001094,5.805583151076512e-06
1400.0000000001178,8.078741868212925e-06
1500.0000000001262,7.24275961549676e-06
1600.0000000001346,3.88757250462912e-06
1700.000000000143,8.309310108943818e-06
1800.0000000001514,3.9802472484513516e-06
1900.0000000001598,3.0459895878844627e-06
2000.0000000001683,5.2077223238613765e-06
2100.0000000001764,2.7066480725926765e-06
2200.000000000185,3.7864114380044893e-06
2300.0000000001933,1.0771263905898463e-05
2400.000000000202,4.011250486543778e-06
2500.00000000021,1.0936409602478937e-05
2600.0000000002187,2.300102229460153e-06
2700.000000000227,3.718775968942409e-06
2800.0000000002356,4.383308397749301e-06
2900.0000000002437,6.148815718700978e-06
3000.0000000002524,5.784404387417379e-06
3100.0000000002606,2.7287054614494704e-06
3200.000000000269,8.074325621441314e-06
3300.0000000002774,1.7943999284107693e-06
3400.000000000286,9.646657372621856e-06
3500.000000000294,7.755380469626442e-06
3600.000000000303,4.916363658491295e-06
3700.000000000311,8.14138921798789e-06
3800.0000000003197,7.469888570701651e-06
3900.000000000328,8.579260095065963e-06
4000.0000000003365,3.177706556425961e-06
4100.000000000345,6.767542027065817e-06
4200.000000000353,2.49479772963912e-06
4300.000000000362,4.0071644357507035e-06
4400.00000000037,6.888398684395454e-06
4500.000000000378,5.219590547124101e-06
4600.0000000003865,4.609490439668094e-06
4700.000000000396,7.869018704372388e-06
4800.000000000404,3.549520151388401e-06
4900.000000000412,1.0092844452782844e-05
5000.00000000042,4.6576610174750676e-06
5100.000000000429,1.1400357648823564e-05
5200.0000000004375,7.631959930803395e-06
5300.000000000446,2.564167782131406e-06
5400.000000000454,3.6918790065786307e-06
5500.000000000463,1.4387497484770919e-06
5600.000000000471,5.49661003356039e-06
5700.000000000479,4.494889282468808e-06
5800.0000000004875,7.02990925549699e-06
5900.000000000497,5.13126390898039e-07
6000.000000000505,5.236385342565403e-06
6100.000000000513,4.2074154078948906e-06
6200.000000000521,6.9942928418849214e-06
6300.00000000053,1.6375973247435306e-06
6400.000000000538,1.1557819822316977e-06
6500.000000000547,4.733446954308586e-06
6600.000000000555,2.63079033537249e-06
6700.000000000564,5.259621742662976e-06
6800.000000000572,7.704884238379326e-06
6900.00000000058,1.3783693519472407e-05
7000.000000000588,3.5078830040707595e-06
7100.0000000005975,1.5398901382219953e-05
7200.000000000606,8.69085379362048e-06
7300.000000000614,1.2321623013822566e-06
7400.000000000622,8.452740728154115e-06
7500.000000000631,8.269547574042627e-06
7600.000000000639,1.5285906428083998e-06
7700.000000000648,4.850339279215738e-06
7800.000000000656,5.3903703953893255e-06
7900.000000000665,4.818088651909992e-06
8000.000000000673,9.473376317743447e-06
8100.000000000681,4.174012964640945e-06
8200.00000000069,3.4932486675440996e-06
8300.000000000698,6.827852183380368e-06
8400.000000000706,1.0248173086353964e-05
8500.000000000715,7.0910637251654274e-06
8600.000000000724,4.145016735522159e-06
8700.000000000731,8.756600045076265e-06
8800.00000000074,1.2755520324161708e-06
8900.00000000075,4.922027276381968e-06
9000.000000000757,3.1630702260697756e-06
9100.000000000766,5.759830798674562e-06
9200.000000000773,1.0510475268927305e-05
9300.000000000782,1.0046506507714345e-05
9400.000000000791,1.3240462444123627e-05
9500.000000000799,5.815745961452046e-06
9600.000000000808,8.984467295111994e-06
9700.000000000817,6.507168750937855e-06
9800.000000000824,1.888728729086402e-05
9900.000000000833,3.420848850426352e-05
10000.00000000084,0.00014117719855619062
10100.00000000085,4.2371667712563535e-05
10200.000000000859,1.3006404540677265e-05
10300.000000000866,3.04729515806333e-06
10400.000000000875,2.328228426333054e-06
10500.000000000884,2.260757972475467e-06
10600.000000000891,4.406994949645998e-06
10700.0000000009,8.572803483231812e-06
10800.000000000908,4.24396352584554e-06
